Prospective Mol ID,Prospective SMILES,Nearest Active SMILES,Nearest Inactive SMILES,Nearest Active Tanimoto Distance,Nearest Inactive Tanimoto Distance,Initial Hit,Scrutinized Hit,PriA-SSB Dose response: IC50 (uM),PriA-SSB Dose response: IC50 CI (Lower) (uM),PriA-SSB Dose response: IC50 CI (Upper) (uM),AS FRH Filter
Z734854148,C(=NNc1ncnc2nc[nH]c12)c1ccccn1,Nc1c(Cl)ncnc1NN=Cc1ccccn1,Fc1ccccc1C=NNc1ncnc2nc[nH]c12,0.45,0.35,1,1,1.29,1.22,1.36,False
Z1763598930,Clc1cncnc1NN=Cc1ccccn1,Nc1c(Cl)ncnc1NN=Cc1ccccn1,Clc1cncc(Cl)c1N/N=C/c1ccccn1,0.38,0.32,1,1,1.70,1.61,1.81,False
Z50106757,C(=NNc1ncnc2sccc12)c1ccccn1,Nc1c(Cl)ncnc1NN=Cc1ccccn1,c1ccc(CCNc2ncnc3sccc23)nc1,0.45,0.49,1,1,2.68,2.47,2.9,False
Z49571468,CC1CCC(=NNc2ccccc2[N+](=O)[O-])CC1,CC1CCC(=NNc2ccc(C(F)(F)F)cc2[N+](=O)[O-])CC1,O=[N+]([O-])c1ccccc1NN=C1CCc2ccccc21,0.35,0.47,1,1,3.64,3.12,4.25,False
Z3559392588,O[C@@H]1COC[C@@H]1Nc1ccc2ccc3cccnc3c2n1,c1cnc2c(c1)ccc1cccnc12,Clc1ccc2ccc3cccnc3c2n1,0.54,0.59,1,1,4.26,4.0,4.53,False
Z3558428795,OCCCCNc1ccc2ccc3cccnc3c2n1,c1cnc2c(c1)ccc1cccnc12,O=S(=O)(NCCO)c1cccc2cccnc12,0.53,0.54,1,1,4.33,4.12,4.56,False
Z3559518523,OCCC(Nc1ccnc2c1ccc1cccnc12)C(F)F,Cc1ccnc2c1ccc1cccnc12,c1cnc2c(c1)ccc1c2ccc2cccnc21,0.57,0.6,1,1,4.48,4.17,4.81,False
Z2976359863,Cc1c(N)nc(-c2ccccn2)nc1NCC1CCC(C2CC2)O1,c1ccc(-c2nc(NCC3CCCO3)c3ccccc3n2)nc1,Cc1c(N)nc(-c2ccccn2)nc1Cl,0.54,0.55,1,1,5.44,5.07,5.84,True
PV-001914484112,Fc1cccc(CNc2nc(-c3ccccn3)nc3c2CCC3)c1F,NNc1nc(-c2ccccn2)nc2c1CCC2,Fc1cccc(CNc2ncnc3cc(Cl)ccc23)c1F,0.41,0.61,1,1,6.11,5.23,7.15,True
Z339655406,CC(C)N(C)S(=O)(=O)c1ccc(F)c(C(=O)Nc2nc(-c3ccccn3)cs2)c1,O=C(Nc1nc(-c2ccccn2)cs1)c1cc(S(=O)(=O)N2CCOCC2)ccc1F,CN(C)S(=O)(=O)c1ccc(C(=O)Nc2nc(-c3ccccn3)cs2)cc1,0.36,0.39,1,1,6.82,6.49,7.17,True
Z1101543176,COc1cc([N+](=O)[O-])c(C(=O)Nc2nc(-c3ccccn3)cs2)cc1SC,O=C(Nc1nc(-c2ccccn2)cs1)c1ccccc1[N+](=O)[O-],CSc1ccc(C(=O)Nc2nc(-c3ccccn3)cs2)cc1[N+](=O)[O-],0.35,0.32,1,1,7.02,6.04,8.16,True
Z71173293,CCOC(=O)c1c(C)[nH]c(C(=O)CSc2cccc3cccnc23)c1C,CCOC(=O)CSc1cccc2cccnc12,CCOC(=O)c1c(C)[nH]c(C(=O)CSc2nccc(C)n2)c1C,0.39,0.37,0,0,7.27,0.0,1.99e+41,False
Z29466207,CC1Sc2ccc(C(=O)Nc3nc(-c4ccccn4)cs3)cc2NC1=O,CC(=O)Nc1cccc(C(=O)Nc2nc(-c3ccccn3)cs2)c1,CC1Sc2ccc(C(=O)Nc3ncccc3O)cc2NC1=O,0.4,0.38,1,1,7.99,6.55,9.75,True
Z3557629875,CSCC(CCO)Nc1ccc2ccc3cccnc3c2n1,Cc1ccc2ccc3cccnc3c2n1,CC(Br)c1cccc2cccnc12,0.57,0.62,1,1,9.08,8.45,9.75,False
Z240359708,O=C(Nc1nc(-c2ccccn2)cs1)c1ccc(Cl)c(S(=O)(=O)NCC2CCCO2)c1,CN(CC1CCCO1)S(=O)(=O)c1ccc(C(=O)Nc2nc(-c3ccccn3)cs2)cc1,O=C(Nc1nc(-c2ccccn2)cs1)c1ccc(Cl)c(S(=O)(=O)N2CCCC2)c1,0.39,0.35,1,1,10.0,6.01,16.8,True
Z3557629872,CSCC(CCO)Nc1ccnc2c1ccc1cccnc12,Cc1ccnc2c1ccc1cccnc12,c1cnc2c(c1)ccc1c2ccc2cccnc21,0.56,0.62,1,1,10.8,10.0,11.7,False
Z3295209363,C1=C[C@@H](CNc2nc(-c3ccccn3)cs2)[C@H]2CO[C@@H]1C2,CNc1nc(-c2ccccn2)cs1,c1ccc(CCNc2nc(-c3ccccn3)cs2)cc1,0.55,0.53,1,1,11.5,10.7,12.4,True
Z3395547714,CC1CC(Nc2nc(-c3ccccn3)nc3c2CCC3)CC(C)N1,NNc1nc(-c2ccccn2)nc2c1CCC2,c1ccc(-c2nc(-c3ccccn3)nc(-c3ccccn3)n2)nc1,0.38,0.61,1,1,12.1,11.2,13.0,True
